"file","name","command","category","action","rationale","explicitSuites"
"functions/e1-authority-service/package.json","start","node server.js","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.",""
"functions/package.json","check:e1-production-third-mutation-candidate-pool","node scripts/check-e1-production-third-mutation-target.cjs --mode=candidate-pool","PRIVATE/MANUAL","KEEP","Offline operator guard remains required when operator code changes; live execution is separately authorized, never a routine PR task.",""
"functions/package.json","check:e1-production-third-mutation-canary-setup","node scripts/check-e1-production-third-mutation-canary-setup.cjs","PRIVATE/MANUAL","KEEP","Offline operator guard remains required when operator code changes; live execution is separately authorized, never a routine PR task.",""
"functions/package.json","test:e1-read-proof-mode","node --test test/e1-read-proof-mode.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","test/e1-read-proof-mode.test.cjs"
"functions/package.json","test:emulator","node --test --test-concurrency=1 test/emulator-contract.test.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","test/emulator-contract.test.cjs"
"functions/package.json","check:contract","node scripts/check-contract.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.",""
"package.json","sec02:inventory:fixture","node scripts/sec02/inventory-request-access.cjs --fixture scripts/sec02/fixtures/request-inventory.json","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.",""
"package.json","sec02:inventory:production","node scripts/sec02/inventory-request-access.cjs --production-aggregate-inventory","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.",""
"package.json","test:sec02-inventory","node --test tests/sec02-request-inventory.test.cjs tests/request-access-contract.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/sec02-request-inventory.test.cjs tests/request-access-contract.test.cjs"
"package.json","test:account-sync","node --test tests/account-sync-domain.test.cjs tests/account-sync-product.test.cjs tests/account-sync-repository.test.cjs tests/account-sync-integration.test.cjs tests/account-sync-runtime.test.cjs tests/account-sync-recovery.test.cjs tests/account-sync-indexeddb.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/account-sync-domain.test.cjs tests/account-sync-product.test.cjs tests/account-sync-repository.test.cjs tests/account-sync-integration.test.cjs tests/account-sync-runtime.test.cjs tests/account-sync-recovery.test.cjs tests/account-sync-indexeddb.test.cjs"
"package.json","test:provider-linking-foundation","node --test tests/provider-linking-foundation.test.cjs tests/provider-linking-ui.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/provider-linking-foundation.test.cjs tests/provider-linking-ui.test.cjs"
"package.json","test:google-provider","node --test tests/provider-linking-foundation.test.cjs tests/provider-linking-ui.test.cjs tests/google-auth-adapter.test.cjs tests/provider-onboarding-model.test.cjs tests/provider-account-foundation.test.cjs tests/provider-account-application-integration.test.cjs tests/google-provider-ui.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/provider-linking-foundation.test.cjs tests/provider-linking-ui.test.cjs tests/google-auth-adapter.test.cjs tests/provider-onboarding-model.test.cjs tests/provider-account-foundation.test.cjs tests/provider-account-application-integration.test.cjs tests/google-provider-ui.test.cjs"
"package.json","test:provider-public-projection","node --test tests/provider-public-projection.test.cjs tests/provider-public-share-gateway.test.cjs tests/provider-public-application-integration.test.cjs tests/provider-directory-favorite-application.test.cjs tests/favorite-share-session-cache.test.cjs functions/test/e1-provider-public-share.test.cjs functions/test/e1-provider-public-share-gateway.test.cjs functions/test/e1-trainer-directory-favorite.test.cjs functions/test/e1-trainer-directory-favorite-gateway.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/provider-public-projection.test.cjs tests/provider-public-share-gateway.test.cjs tests/provider-public-application-integration.test.cjs tests/provider-directory-favorite-application.test.cjs tests/favorite-share-session-cache.test.cjs functions/test/e1-provider-public-share.test.cjs functions/test/e1-provider-public-share-gateway.test.cjs functions/test/e1-trainer-directory-favorite.test.cjs functions/test/e1-trainer-directory-favorite-gateway.test.cjs"
"package.json","test:pages-release","node --test tests/pages-deployment-control.test.cjs tests/service-worker-deployment-rollback.test.cjs tests/service-worker-atomic-install.test.cjs tests/service-worker-cache-lifecycle.test.cjs tests/service-worker-install-performance.test.cjs tests/service-worker-release.test.cjs tests/client-asset-versioning.test.cjs tests/frontend-asset-extraction.test.cjs tests/ui-readiness.test.cjs tests/public-share-localization.test.cjs tests/provider-privacy.test.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","tests/pages-deployment-control.test.cjs tests/service-worker-deployment-rollback.test.cjs tests/service-worker-atomic-install.test.cjs tests/service-worker-cache-lifecycle.test.cjs tests/service-worker-install-performance.test.cjs tests/service-worker-release.test.cjs tests/client-asset-versioning.test.cjs tests/frontend-asset-extraction.test.cjs tests/ui-readiness.test.cjs tests/public-share-localization.test.cjs tests/provider-privacy.test.cjs"
"package.json","profile:service-worker-install","node scripts/profile-service-worker-install.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.",""
"package.json","profile:frontend-assets","node scripts/profile-frontend-assets.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.",""
"package.json","test:performance:static","node --test tests/frontend-asset-extraction.test.cjs tests/service-worker-install-performance.test.cjs tests/service-worker-atomic-install.test.cjs tests/service-worker-cache-lifecycle.test.cjs tests/performance-observability.test.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","tests/frontend-asset-extraction.test.cjs tests/service-worker-install-performance.test.cjs tests/service-worker-atomic-install.test.cjs tests/service-worker-cache-lifecycle.test.cjs tests/performance-observability.test.cjs"
"package.json","test:performance:browser","playwright test tests/startup-performance.spec.js tests/my-list-performance.spec.js --project=desktop --workers=1","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","tests/startup-performance.spec.js tests/my-list-performance.spec.js"
"package.json","test:trusted-readiness","node --test tests/background-visual.test.cjs tests/trainer-favorites-recents-ia.test.cjs tests/my-list-sync-safety.test.cjs && playwright test tests/trusted-readiness.spec.js --project=desktop --workers=1","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","tests/background-visual.test.cjs tests/trainer-favorites-recents-ia.test.cjs tests/my-list-sync-safety.test.cjs tests/trusted-readiness.spec.js"
"package.json","check:pages-release","node scripts/pages/validate-release.cjs --local && npm run test:pages-release && node scripts/check-domain-helpers.js && node scripts/check-community-membership.js && node scripts/check-global-identity-contract.js","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.",""
"package.json","generate:pokemon-names","node scripts/generate-pokemon-name-catalog.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.",""
"package.json","generate:background-catalog","node scripts/generate-background-catalog.cjs","HIGH-VALUE REGRESSION","KEEP","Protects user-visible rendering, exact intent, data transformation or interaction; run on relevant changes.",""
"package.json","generate:costume-sprites","node scripts/generate-costume-sprite-runtime.cjs && node scripts/generate-public-sprite-dex.cjs","HIGH-VALUE REGRESSION","KEEP","Protects user-visible rendering, exact intent, data transformation or interaction; run on relevant changes.",""
"package.json","check:costume-sprites","node scripts/generate-costume-sprite-runtime.cjs --check && node scripts/generate-public-sprite-dex.cjs --check && node --test tests/costume-sprite-catalog.test.cjs tests/sprite-resolution.test.cjs","HIGH-VALUE REGRESSION","KEEP","Protects user-visible rendering, exact intent, data transformation or interaction; run on relevant changes.","tests/costume-sprite-catalog.test.cjs tests/sprite-resolution.test.cjs"
"package.json","check:costume-sprite-freshness","node scripts/check-costume-sprite-freshness.cjs","HIGH-VALUE REGRESSION","KEEP","Protects user-visible rendering, exact intent, data transformation or interaction; run on relevant changes.",""
"package.json","check:background-catalog","node scripts/check-background-catalog.cjs && node scripts/generate-background-catalog.cjs --check && node --test tests/background-catalog.test.cjs","HIGH-VALUE REGRESSION","KEEP","Protects user-visible rendering, exact intent, data transformation or interaction; run on relevant changes.","tests/background-catalog.test.cjs"
"package.json","check:background-upstream","node scripts/update-background-catalog.cjs --check-upstream","HIGH-VALUE REGRESSION","KEEP","Protects user-visible rendering, exact intent, data transformation or interaction; run on relevant changes.",""
"package.json","check:trainer-first-product-journeys","node --test tests/trainer-first-product-journeys.test.cjs tests/domain-display-localization.test.cjs tests/trainer-first-interim.test.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","tests/trainer-first-product-journeys.test.cjs tests/domain-display-localization.test.cjs tests/trainer-first-interim.test.cjs"
"package.json","check:domain","node scripts/check-domain-helpers.js","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.",""
"package.json","check:community","node scripts/check-community-membership.js","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.",""
"package.json","check:auth-index","node --test tests/auth-index-flow.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/auth-index-flow.test.cjs"
"package.json","check:trainer-names","node --test tests/trainer-name-audit.test.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","tests/trainer-name-audit.test.cjs"
"package.json","check:uid-handle-audit","node --test tests/uid-handle-reconciliation.test.cjs tests/uid-handle-source-reader.test.cjs tests/private-identity-report.test.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","tests/uid-handle-reconciliation.test.cjs tests/uid-handle-source-reader.test.cjs tests/private-identity-report.test.cjs"
"package.json","check:identity-review","node --test tests/identity-conflict-diagnostics.test.cjs tests/identity-review-source-reader.test.cjs tests/private-identity-review.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/identity-conflict-diagnostics.test.cjs tests/identity-review-source-reader.test.cjs tests/private-identity-review.test.cjs"
"package.json","check:admin-reset-safety","node --test tests/admin-reset-safety.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/admin-reset-safety.test.cjs"
"package.json","check:existing-pin-reset","node --test tests/existing-auth-pin-reset.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/existing-auth-pin-reset.test.cjs"
"package.json","check:durable-auth-readiness","node --test tests/durable-auth-readiness.test.cjs functions/test/provider-link-readiness.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/durable-auth-readiness.test.cjs functions/test/provider-link-readiness.test.cjs"
"package.json","check:trainer-discovery-favorite-settings","node --test tests/trainer-discovery-favorite-settings.test.cjs","HIGH-VALUE REGRESSION","KEEP","Protects user-visible rendering, exact intent, data transformation or interaction; run on relevant changes.","tests/trainer-discovery-favorite-settings.test.cjs"
"package.json","check:admin-security","node --test tests/admin-security-panel.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/admin-security-panel.test.cjs"
"package.json","check:read-boundary","node --test tests/subscription-manager.test.cjs tests/listener-lifecycle.test.cjs tests/session-cache-boundary.test.cjs tests/session-transient-state.test.cjs tests/firebase-data-boundary.test.cjs tests/owned-data-coordinator.test.cjs tests/owned-data-read-mode.test.cjs tests/public-share-publication.test.cjs tests/login-directory-state.test.cjs tests/trainer-first-interim.test.cjs tests/trainer-first-product-journeys.test.cjs tests/trainer-discovery.test.cjs tests/trainer-autocomplete-layout.test.cjs tests/client-asset-versioning.test.cjs tests/i18n.test.cjs tests/domain-display-localization.test.cjs tests/ui-readiness.test.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","tests/subscription-manager.test.cjs tests/listener-lifecycle.test.cjs tests/session-cache-boundary.test.cjs tests/session-transient-state.test.cjs tests/firebase-data-boundary.test.cjs tests/owned-data-coordinator.test.cjs tests/owned-data-read-mode.test.cjs tests/public-share-publication.test.cjs tests/login-directory-state.test.cjs tests/trainer-first-interim.test.cjs tests/trainer-first-product-journeys.test.cjs tests/trainer-discovery.test.cjs tests/trainer-autocomplete-layout.test.cjs tests/client-asset-versioning.test.cjs tests/i18n.test.cjs tests/domain-display-localization.test.cjs tests/ui-readiness.test.cjs"
"package.json","check:ui-readiness","node --test tests/i18n.test.cjs tests/domain-display-localization.test.cjs tests/public-share-localization.test.cjs tests/ui-readiness.test.cjs tests/trainer-autocomplete-layout.test.cjs tests/trainer-first-product-journeys.test.cjs tests/client-asset-versioning.test.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","tests/i18n.test.cjs tests/domain-display-localization.test.cjs tests/public-share-localization.test.cjs tests/ui-readiness.test.cjs tests/trainer-autocomplete-layout.test.cjs tests/trainer-first-product-journeys.test.cjs tests/client-asset-versioning.test.cjs"
"package.json","check:public-share-localization","node --test tests/public-share-localization.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/public-share-localization.test.cjs"
"package.json","check:pokemon-go-localization","node --test tests/pokemon-go-search-syntax.test.cjs tests/event-title-localization.test.cjs","HIGH-VALUE REGRESSION","KEEP","Protects user-visible rendering, exact intent, data transformation or interaction; run on relevant changes.","tests/pokemon-go-search-syntax.test.cjs tests/event-title-localization.test.cjs"
"package.json","check:events-ia","node --test tests/events-ia.test.cjs tests/event-title-localization.test.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","tests/events-ia.test.cjs tests/event-title-localization.test.cjs"
"package.json","check:client-assets","node --test tests/client-asset-versioning.test.cjs tests/domain-display-localization.test.cjs tests/trainer-discovery.test.cjs tests/trainer-first-interim.test.cjs tests/trainer-first-product-journeys.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/client-asset-versioning.test.cjs tests/domain-display-localization.test.cjs tests/trainer-discovery.test.cjs tests/trainer-first-interim.test.cjs tests/trainer-first-product-journeys.test.cjs"
"package.json","check:firebase-reads","node scripts/check-firebase-reads.js","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.",""
"package.json","check:rules","bash scripts/check-firebase-rules.sh","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.",""
"package.json","check:request-access-candidate-rules","bash scripts/check-request-access-candidate-rules.sh","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.",""
"package.json","build:sec02-production-rules","node scripts/build-sec02-production-rules.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.",""
"package.json","check:sec02-production-rules","node scripts/build-sec02-production-rules.cjs --check && node --test tests/sec02-production-rules.test.cjs && bash scripts/check-sec02-production-rules.sh","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/sec02-production-rules.test.cjs"
"package.json","check:legacy-provisioning-freeze","node --test tests/legacy-provisioning-freeze.test.cjs && bash scripts/check-legacy-provisioning-freeze-rules.sh","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/legacy-provisioning-freeze.test.cjs"
"package.json","check:global-contract","node scripts/check-global-identity-contract.js","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.",""
"package.json","check:global-rules","bash scripts/check-global-identity-rules.sh","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.",""
"package.json","check:share-visibility","node --test tests/share-visibility-client.test.cjs tests/trainer-preferences.test.cjs tests/trainer-preference-sync.test.cjs tests/trainer-preference-sync-ux.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/share-visibility-client.test.cjs tests/trainer-preferences.test.cjs tests/trainer-preference-sync.test.cjs tests/trainer-preference-sync-ux.test.cjs"
"package.json","check:trainer-preference-sync-ux","node --test tests/trainer-preference-sync-ux.test.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","tests/trainer-preference-sync-ux.test.cjs"
"package.json","check:share-migration-audit","node --test tests/share-migration-audit.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/share-migration-audit.test.cjs"
"package.json","check:share-migration-review","node --test tests/share-migration-review.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/share-migration-review.test.cjs"
"package.json","check:trusted-backend","node --test tests/trusted-backend-contracts.test.cjs tests/share-activation-planning.test.cjs","CRITICAL CONTRACT","KEEP","Ownership, persistence, privacy, admission, release or recovery contract; keep isolated models AND adapter/Rules coverage. They are different failure boundaries.","tests/trusted-backend-contracts.test.cjs tests/share-activation-planning.test.cjs"
"package.json","check:trusted-functions","npm --prefix functions test","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.",""
"package.json","check:trusted-functions-contract","npm --prefix functions run check:contract","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.",""
"package.json","check:trusted-functions-emulator","bash scripts/check-trusted-functions-emulator.sh","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.",""
"package.json","check:trusted-functions-staging","node --test functions/test/staging-readiness.test.cjs && node functions/scripts/check-staging-readiness.cjs","USEFUL FOCUSED","KEEP","Focused domain/UX contract; keep selected by dependency impact rather than every package alias.","functions/test/staging-readiness.test.cjs"
"package.json","check:staging-creation-approval","node --test functions/test/staging-creation-approval.test.cjs && node functions/scripts/check-staging-creation-approval.cjs","SCHEDULED/DEEP ONLY","MOVE TO DEEP/NIGHTLY","Retain scenario coverage and run on owning-area changes; omit unrelated product edits. Not permission to run live infrastructure.","functions/test/staging-creation-approval.test.cjs"
